code;cruise;date;id_tanda;tanda;lon;lat;time;duration;numtraps;effort;depth;weight;sex
1;2018;16/10/2018;1;1;-6,907658318;43,578125;0,3976;0,07;31;0,205;20,84832;430;Hembra
2;2018;16/10/2018;1;1;-6,907658318;43,578125;0,3976;0,07;31;0,205;20,84832;710;Macho
3;2018;16/10/2018;1;1;-6,907658318;43,578125;0,3976;0,07;31;0,205;20,84832;730;Macho
4;2018;16/10/2018;1;1;-6,907658318;43,578125;0,3976;0,07;31;0,205;20,84832;460;Macho
5;2018;16/10/2018;1;1;-6,907658318;43,578125;0,3976;0,07;31;0,205;20,84832;960;Hembra
6;2018;16/10/2018;1;1;-6,907658318;43,578125;0,3976;0,07;31;0,205;20,84832;770;Macho
7;2018;16/10/2018;2;2;-6,917250006;43,58380833;0,4080;0,07;30;0,219;33,8328;1715;Macho
8;2018;16/10/2018;2;2;-6,917250006;43,58380833;0,4080;0,07;30;0,219;33,8328;1040;Macho
9;2018;16/10/2018;2;2;-6,917250006;43,58380833;0,4080;0,07;30;0,219;33,8328;660;Macho
10;2018;16/10/2018;2;2;-6,917250006;43,58380833;0,4080;0,07;30;0,219;33,8328;1130;Hembra
11;2018;16/10/2018;2;2;-6,917250006;43,58380833;0,4080;0,07;30;0,219;33,8328;920;Hembra
12;2018;16/10/2018;3;3;-6,922550003;43,59025833;0,4219;0,08;26;0,217;56,87568;540;Hembra
13;2018;16/10/2018;3;3;-6,922550003;43,59025833;0,4219;0,08;26;0,217;56,87568;880;Macho
14;2018;16/10/2018;3;3;-6,922550003;43,59025833;0,4219;0,08;26;0,217;56,87568;2320;Hembra
15;2018;16/10/2018;4;4;-6,926133342;43,60001667;0,4340;0,10;34;0,331;72,60336;620;Hembra
16;2018;16/10/2018;4;4;-6,926133342;43,60001667;0,4340;0,10;34;0,331;72,60336;840;Hembra
17;2018;16/10/2018;5;5;-6,932999997;43,60928333;0,4479;0,11;34;0,366;91,25712;640;Macho
18;2018;16/10/2018;5;5;-6,932999997;43,60928333;0,4479;0,11;34;0,366;91,25712;1260;Macho
19;2018;16/10/2018;5;5;-6,932999997;43,60928333;0,4479;0,11;34;0,366;91,25712;85;Hembra
20;2018;16/10/2018;5;5;-6,932999997;43,60928333;0,4479;0,11;34;0,366;91,25712;640;Macho
21;2018;16/10/2018;6;6;-6,93719165;43,61954167;0,4601;0,11;35;0,401;102,4128;640;Macho
22;2018;17/10/2018;1;7;-6,905533329;43,57715833;0,8250;1,00;31;3,100;20,1168;125;Hembra
23;2018;17/10/2018;2;8;-6,919283327;43,58315833;0,8389;1,00;30;3,000;32,73552;110;Hembra
24;2018;17/10/2018;3;9;-7,032700001;43,56785833;0,4229;0,08;30;0,254;20,1168;1545;Macho
25;2018;17/10/2018;3;9;-7,032700001;43,56785833;0,4229;0,08;30;0,254;20,1168;860;Macho
26;2018;17/10/2018;3;9;-7,032700001;43,56785833;0,4229;0,08;30;0,254;20,1168;2680;Hembra
27;2018;17/10/2018;3;9;-7,032700001;43,56785833;0,4229;0,08;30;0,254;20,1168;1465;Hembra
28;2018;17/10/2018;3;9;-7,032700001;43,56785833;0,4229;0,08;30;0,254;20,1168;460;Hembra
29;2018;17/10/2018;3;9;-7,032700001;43,56785833;0,4229;0,08;30;0,254;20,1168;2390;Macho
30;2018;17/10/2018;3;9;-7,032700001;43,56785833;0,4229;0,08;30;0,254;20,1168;755;Hembra
31;2018;17/10/2018;3;9;-7,032700001;43,56785833;0,4229;0,08;30;0,254;20,1168;535;Macho
32;2018;17/10/2018;3;9;-7,032700001;43,56785833;0,4229;0,08;30;0,254;20,1168;190;Hembra
33;2018;17/10/2018;4;10;-7,033199997;43,57305833;0,4333;0,09;31;0,288;38,4048;570;Hembra
34;2018;17/10/2018;4;10;-7,033199997;43,57305833;0,4333;0,09;31;0,288;38,4048;250;Macho
35;2018;17/10/2018;4;10;-7,033199997;43,57305833;0,4333;0,09;31;0,288;38,4048;1195;Macho
36;2018;17/10/2018;4;10;-7,033199997;43,57305833;0,4333;0,09;31;0,288;38,4048;2690;Macho
37;2018;17/10/2018;5;11;-7,02667;43,61681667;0,4753;0,15;35;0,532;104,2416;185;Hembra
38;2018;17/10/2018;6;12;-7,025649995;43,60686667;0,4764;0,12;34;0,397;91,44;1690;Macho
39;2018;17/10/2018;6;12;-7,025649995;43,60686667;0,4764;0,12;34;0,397;91,44;780;Macho
40;2018;17/10/2018;6;12;-7,025649995;43,60686667;0,4764;0,12;34;0,397;91,44;55;Hembra
41;2018;17/10/2018;7;13;-7,027966664;43,59154167;0,4736;0,09;34;0,309;74,9808;1250;Macho
42;2018;17/10/2018;7;13;-7,027966664;43,59154167;0,4736;0,09;34;0,309;74,9808;1680;Hembra
43;2018;17/10/2018;7;13;-7,027966664;43,59154167;0,4736;0,09;34;0,309;74,9808;1490;Hembra
44;2018;17/10/2018;7;13;-7,027966664;43,59154167;0,4736;0,09;34;0,309;74,9808;2045;Macho
45;2018;17/10/2018;8;14;-7,033791665;43,57683333;0,4694;0,07;26;0,177;51,2064;960;Macho
46;2018;17/10/2018;8;14;-7,033791665;43,57683333;0,4694;0,07;26;0,177;51,2064;890;Indeterminado
47;2018;17/10/2018;8;14;-7,033791665;43,57683333;0,4694;0,07;26;0,177;51,2064;1610;Hembra
48;2018;17/10/2018;8;14;-7,033791665;43,57683333;0,4694;0,07;26;0,177;51,2064;1210;Macho
49;2018;17/10/2018;8;14;-7,033791665;43,57683333;0,4694;0,07;26;0,177;51,2064;485;Macho
50;2018;17/10/2018;8;14;-7,033791665;43,57683333;0,4694;0,07;26;0,177;51,2064;1325;Macho
51;2018;24/10/2018;1;15;-6,807799992;43,57075833;0,4507;0,25;30;0,754;18,288;1275;Macho
52;2018;24/10/2018;1;15;-6,807799992;43,57075833;0,4507;0,25;30;0,754;18,288;1925;Macho
53;2018;24/10/2018;1;15;-6,807799992;43,57075833;0,4507;0,25;30;0,754;18,288;1245;Macho
54;2018;24/10/2018;1;15;-6,807799992;43,57075833;0,4507;0,25;30;0,754;18,288;1050;Hembra
55;2018;24/10/2018;1;15;-6,807799992;43,57075833;0,4507;0,25;30;0,754;18,288;1685;Macho
56;2018;24/10/2018;1;15;-6,807799992;43,57075833;0,4507;0,25;30;0,754;18,288;1810;Macho
57;2018;24/10/2018;1;15;-6,807799992;43,57075833;0,4507;0,25;30;0,754;18,288;800;Macho
58;2018;24/10/2018;1;15;-6,807799992;43,57075833;0,4507;0,25;30;0,754;18,288;805;Macho
59;2018;24/10/2018;2;16;-6,814399997;43,57549167;0,4656;0,26;31;0,812;32,9184;2180;Macho
60;2018;24/10/2018;2;16;-6,814399997;43,57549167;0,4656;0,26;31;0,812;32,9184;705;Macho
61;2018;24/10/2018;2;16;-6,814399997;43,57549167;0,4656;0,26;31;0,812;32,9184;2650;Macho
62;2018;24/10/2018;2;16;-6,814399997;43,57549167;0,4656;0,26;31;0,812;32,9184;3230;Macho
63;2018;24/10/2018;2;16;-6,814399997;43,57549167;0,4656;0,26;31;0,812;32,9184;990;Macho
64;2018;24/10/2018;2;16;-6,814399997;43,57549167;0,4656;0,26;31;0,812;32,9184;1350;Macho
65;2018;24/10/2018;3;17;-6,811866668;43,58615833;0,4670;0,29;30;0,865;51,2064;1440;Macho
66;2018;24/10/2018;3;17;-6,811866668;43,58615833;0,4670;0,29;30;0,865;51,2064;1330;Hembra
67;2018;24/10/2018;3;17;-6,811866668;43,58615833;0,4670;0,29;30;0,865;51,2064;1180;Macho
68;2018;24/10/2018;4;18;-6,811716673;43,59625;0,4750;0,31;34;1,058;67,6656;1230;Hembra
69;2018;24/10/2018;4;18;-6,811716673;43,59625;0,4750;0,31;34;1,058;67,6656;1520;Hembra
70;2018;24/10/2018;5;19;-6,810825003;43,60659167;0,4788;0,34;34;1,145;89,6112;1840;Hembra
71;2018;24/10/2018;5;19;-6,810825003;43,60659167;0,4788;0,34;34;1,145;89,6112;750;Macho
72;2018;24/10/2018;5;19;-6,810825003;43,60659167;0,4788;0,34;34;1,145;89,6112;890;Hembra
73;2018;24/10/2018;5;19;-6,810825003;43,60659167;0,4788;0,34;34;1,145;89,6112;1050;Macho
74;2018;24/10/2018;5;19;-6,810825003;43,60659167;0,4788;0,34;34;1,145;89,6112;890;Macho
75;2018;24/10/2018;5;19;-6,810825003;43,60659167;0,4788;0,34;34;1,145;89,6112;730;Hembra
76;2018;24/10/2018;5;19;-6,810825003;43,60659167;0,4788;0,34;34;1,145;89,6112;450;Hembra
77;2018;24/10/2018;5;19;-6,810825003;43,60659167;0,4788;0,34;34;1,145;89,6112;900;Macho
78;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;680;Hembra
79;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;450;Hembra
80;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;550;Macho
81;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;740;Hembra
82;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;740;Macho
83;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;720;Macho
84;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;460;Macho
85;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;720;Macho
86;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;30;Indeterminado
87;2018;24/10/2018;6;20;-6,804816656;43,61684167;0,4854;0,36;35;1,266;93,2688;1200;Macho
88;2018;25/10/2018;1;21;-6,767466666;43,57704167;0,4819;0,28;30;0,835;14,6304;630;Macho
89;2018;25/10/2018;1;21;-6,767466666;43,57704167;0,4819;0,28;30;0,835;14,6304;680;Hembra
90;2018;25/10/2018;1;21;-6,767466666;43,57704167;0,4819;0,28;30;0,835;14,6304;640;Macho
91;2018;25/10/2018;1;21;-6,767466666;43,57704167;0,4819;0,28;30;0,835;14,6304;560;Hembra
92;2018;25/10/2018;2;22;-6,768708341;43,58280833;0,4865;0,30;31;0,917;43,8912;670;Macho
93;2018;25/10/2018;2;22;-6,768708341;43,58280833;0,4865;0,30;31;0,917;43,8912;750;Macho
94;2018;25/10/2018;2;22;-6,768708341;43,58280833;0,4865;0,30;31;0,917;43,8912;980;Macho
95;2018;25/10/2018;2;22;-6,768708341;43,58280833;0,4865;0,30;31;0,917;43,8912;450;Macho
96;2018;25/10/2018;2;22;-6,768708341;43,58280833;0,4865;0,30;31;0,917;43,8912;220;Macho
97;2018;25/10/2018;3;23;-6,764216664;43,58929167;0,4899;0,31;30;0,931;54,864;1300;Indeterminado
98;2018;25/10/2018;3;23;-6,764216664;43,58929167;0,4899;0,31;30;0,931;54,864;1800;Macho
99;2018;25/10/2018;3;23;-6,764216664;43,58929167;0,4899;0,31;30;0,931;54,864;2120;Hembra
100;2018;25/10/2018;3;23;-6,764216664;43,58929167;0,4899;0,31;30;0,931;54,864;520;Hembra
101;2018;25/10/2018;4;24;-6,762525001;43,60189167;0,4938;0,34;34;1,148;82,296;770;Macho
102;2018;25/10/2018;4;24;-6,762525001;43,60189167;0,4938;0,34;34;1,148;82,296;1020;Hembra
103;2018;25/10/2018;4;24;-6,762525001;43,60189167;0,4938;0,34;34;1,148;82,296;560;Macho
104;2018;25/10/2018;5;25;-6,769150003;43,623875;0,4951;0,37;34;1,254;93,2688;460;Macho
105;2018;25/10/2018;5;25;-6,769150003;43,623875;0,4951;0,37;34;1,254;93,2688;800;Macho
106;2018;25/10/2018;5;25;-6,769150003;43,623875;0,4951;0,37;34;1,254;93,2688;610;Macho
107;2018;25/10/2018;6;26;-6,760016657;43,6336;0,5049;0,39;35;1,376;100,584;1380;Macho
108;2018;25/10/2018;6;26;-6,760016657;43,6336;0,5049;0,39;35;1,376;100,584;920;Macho
109;2018;25/10/2018;6;26;-6,760016657;43,6336;0,5049;0,39;35;1,376;100,584;750;Macho
110;2018;30/10/2018;1;27;-6,853833327;43,6221;0,3497;0,12;35;0,420;98,7552;590;Hembra
111;2018;30/10/2018;2;28;-6,855250004;43,6156;0,3618;0,13;34;0,434;93,2688;710;Macho
112;2018;30/10/2018;2;28;-6,855250004;43,6156;0,3618;0,13;34;0,434;93,2688;635;Hembra
113;2018;30/10/2018;3;29;-6,849066667;43,60539167;0,3740;0,14;34;0,468;82,296;860;Macho
114;2018;30/10/2018;3;29;-6,849066667;43,60539167;0,3740;0,14;34;0,468;82,296;760;Macho
115;2018;30/10/2018;3;29;-6,849066667;43,60539167;0,3740;0,14;34;0,468;82,296;410;Hembra
116;2018;30/10/2018;4;30;-6,846208333;43,59125;0,3688;0,15;30;0,454;65,8368;1040;Hembra
117;2018;30/10/2018;4;30;-6,846208333;43,59125;0,3688;0,15;30;0,454;65,8368;770;Hembra
